Class,Confidence,Center 3D Coordinates
blood_tube,0.27886760234832764,"[-177.0, -4.0, 960.0]"
10ML_sorting_tube_rack,0.273715615272522,"[-225.0, -83.0, 1290.0]"
5ML_sorting_tube_rack,0.26893165707588196,"[-455.0, -466.0, 1760.0]"
refrigerator_close,0.9553655385971069,"[0.0, -0.0, 0.0]"
centrifuge_close,0.9073356986045837,"[318.0, -217.0, 1266.0]"
blood_tube,0.8272814154624939,"[232.0, 195.0, 1038.0]"
10ML_centrifuge_tube,0.6970399022102356,"[-497.0, -190.0, 1398.0]"
dispensing_tube_rack,0.6966401934623718,"[-149.0, 93.0, 1139.0]"
blood_tube,0.6177689433097839,"[92.0, 119.0, 1135.0]"
10ML_centrifuge_tube,0.6099873185157776,"[-43.0, 57.0, 1053.0]"
dispensing_tube_rack,0.5700059533119202,"[-71.0, 111.0, 1036.0]"
tube_rack_storage_cabinet,0.5581604838371277,"[-379.0, 51.0, 647.0]"
